,Eb/N0 (dB),Time (s),BER LDPC + ZF,BER LDPC + ZF Status,BER LDPC + ZF Errors,BER LDPC + ZF Total,BER Uncoded + ZF,BER Uncoded + ZF Status,BER Uncoded + ZF Errors,BER Uncoded + ZF Total,SER LDPC + ZF,SER LDPC + ZF Status,SER Uncoded + ZF,SER Uncoded + ZF Status,BER LDPC + MMSE,BER LDPC + MMSE Status,BER LDPC + MMSE Errors,BER LDPC + MMSE Total,BER Uncoded + MMSE,BER Uncoded + MMSE Status,BER Uncoded + MMSE Errors,BER Uncoded + MMSE Total,SER LDPC + MMSE,SER LDPC + MMSE Status,SER Uncoded + MMSE,SER Uncoded + MMSE Status
0,0,17.38858127593994,0.23836517333984375,Measured,62486,262144,0.1505152384440104,Measured,59185,393216,0.771329728739003,Measured,0.6476898193359375,Measured,0.2463531494140625,Measured,64580,262144,0.15557098388671875,Measured,61173,393216,0.7839076246334311,Measured,0.6632232666015625,Measured
1,0.5,2.662381887435913,0.22772979736328125,Measured,59698,262144,0.13980611165364584,Measured,54974,393216,0.7495646994134897,Measured,0.6152801513671875,Measured,0.23563766479492188,Measured,61771,262144,0.1443761189778646,Measured,56771,393216,0.7660144794721407,Measured,0.6302947998046875,Measured
2,1,2.8073487281799316,0.21477508544921875,Measured,56302,262144,0.131256103515625,Measured,51612,393216,0.7239965175953079,Measured,0.58990478515625,Measured,0.22204208374023438,Measured,58207,262144,0.1355260213216146,Measured,53291,393216,0.7373991935483871,Measured,0.6048431396484375,Measured
3,1.5,2.5485994815826416,0.20516204833984375,Measured,53782,262144,0.12308247884114583,Measured,48398,393216,0.7024147727272727,Measured,0.5657196044921875,Measured,0.21247482299804688,Measured,55699,262144,0.12674713134765625,Measured,49839,393216,0.7141907991202346,Measured,0.5786590576171875,Measured
4,2,2.620539426803589,0.19303131103515625,Measured,50602,262144,0.11308034261067708,Measured,44465,393216,0.6817723607038123,Measured,0.5308074951171875,Measured,0.19988250732421875,Measured,52398,262144,0.11677805582682292,Measured,45919,393216,0.6958394428152492,Measured,0.545074462890625,Measured
5,2.5,3.220477342605591,0.18043899536132812,Measured,47301,262144,0.10410563151041667,Measured,40936,393216,0.6540505865102639,Measured,0.499542236328125,Measured,0.18680953979492188,Measured,48971,262144,0.10707346598307292,Measured,42103,393216,0.6661244501466276,Measured,0.5107421875,Measured
6,3,2.4727344512939453,0.165252685546875,Measured,43320,262144,0.09569295247395833,Measured,37628,393216,0.6223423753665689,Measured,0.467498779296875,Measured,0.17202377319335938,Measured,45095,262144,0.09840901692708333,Measured,38696,393216,0.6382652126099707,Measured,0.4774932861328125,Measured
7,3.5,2.7905092239379883,0.14941024780273438,Measured,39167,262144,0.08635711669921875,Measured,33957,393216,0.5874266862170088,Measured,0.4301605224609375,Measured,0.1573333740234375,Measured,41244,262144,0.08894093831380208,Measured,34973,393216,0.6042430351906158,Measured,0.4411468505859375,Measured
8,4,2.4448468685150146,0.12945556640625,Measured,33936,262144,0.07914988199869792,Measured,31123,393216,0.5364277859237536,Measured,0.39813232421875,Measured,0.13945388793945312,Measured,36557,262144,0.08149210611979167,Measured,32044,393216,0.5612857404692082,Measured,0.4076385498046875,Measured
9,4.5,2.877476215362549,0.10036468505859375,Measured,26310,262144,0.07175191243489583,Measured,28214,393216,0.4507423020527859,Measured,0.367156982421875,Measured,0.11161041259765625,Measured,29258,262144,0.07372283935546875,Measured,28989,393216,0.48380223607038125,Measured,0.3742828369140625,Measured
10,5,2.943763256072998,0.05716705322265625,Measured,14986,262144,0.0640869140625,Measured,25200,393216,0.2833577712609971,Measured,0.332916259765625,Measured,0.07294464111328125,Measured,19122,262144,0.06575775146484375,Measured,25857,393216,0.3488132331378299,Measured,0.3400726318359375,Measured
11,5.5,2.7958602905273438,0.01593780517578125,Measured,4178,262144,0.056856791178385414,Measured,22357,393216,0.08538764662756598,Measured,0.2987213134765625,Measured,0.028667449951171875,Measured,7515,262144,0.05834197998046875,Measured,22941,393216,0.14706286656891496,Measured,0.3056793212890625,Measured
12,6,4.933053970336914,0.001678466796875,Measured,880,524288,0.04981358846028646,Measured,39175,786432,0.009588068181818182,Measured,0.2652587890625,Measured,0.003917694091796875,Measured,2054,524288,0.05117670694986979,Measured,40247,786432,0.021742118768328447,Measured,0.2715301513671875,Measured
13,6.5,52.349018573760986,0.0000213623046875,Measured,112,5242880,0.04386189778645833,Measured,344944,7864320,0.00012715359237536658,Measured,0.23617095947265626,Measured,0.00011043548583984375,Measured,579,5242880,0.044937515258789064,Measured,353403,7864320,0.0006197305718475074,Measured,0.24120559692382812,Measured
